ID,Bank,City,State,Date,Acquired by,Assets ($mil.)
230,Premier American Bank,Miami,Florida,"January 22, 2010","Premier American Bank, N.A.",351
231,Maritime Savings Bank,West Allis,Wisconsin,"September 17, 2010","North Shore Bank, FSB",351
232,Sonoma Valley Bank,Sonoma,California,"August 20, 2010",Westamerica Bank,337
233,1st Pacific Bank of California,San Diego,California,"May 7, 2010",City National Bank,336
234,Old Southern Bank,Orlando,Florida,"March 12, 2010",Centennial Bank,316
235,Pacific State Bank,Stockton,California,"August 20, 2010","Rabobbank, N.A.",312
236,Unity National Bank,Cartersville,Georgia,"March 26, 2010",Bank of the Ozarks,292
237,North County Bank,Arlington,Washington,"September 24, 2010",Whidbey Island Bank,289
238,Bay National Bank,Baltimore,Maryland,"July 9, 2010","Bay Bank, FSB",282
239,First Arizona Savings,Scottsdale,Arizona,"October 22, 2010",None (insured depositors paid directly),272
240,Innovative Bank,Oakland,California,"April 16, 2010",Center Bank,269
241,Butler Bank,Lowell,Massachusetts,"April 16, 2010",People's United Bank,268
242,Ravenswood Bank,Chicago,Illinois,"August 6, 2010",Northbrook Bank and Trust Company,265
243,Turnberry Bank,Aventura,Florida,"July 16, 2010",NAFH National Bank,264
244,First National Bank,Savannah,Georgia,"June 25, 2010",The Savannah Bank,253
245,Paramount Bank,Farmington Hills,Michigan,"December 10, 2010",Level One Bank,253
246,Home Valley Bank,Cave Junction,Oregon,"July 23, 2010",South Valley Bank and Trust,252
247,First Commerce Community Bank,Douglasville,Georgia,"September 17, 2010",Community and Southern Bank,248
248,Bank of Florida-Tampa Bay,Tampa,Florida,"May 28, 2010",EverBank,245
249,Chestatee State Bank,Dawsonville,Georgia,"December 17, 2010",Bank of the Ozarks,244
250,Statewide Bank,Covington,Louisiana,"March 12, 2010",Home Bank,243
251,The Bank of Bonifay,Bonifay,Florida,"May 7, 2010",First Federal Bank of Florida,243
252,Pierce Commercial Bank,Tacoma,Washington,"November 5, 2010",Heritage Bank,221
253,Centennial Bank,Ogden,Utah,"March 5, 2010",None (insured depositors paid directly),215
254,SouthwestUSA Bank,Las Vegas,Nevada,"July 23, 2010",Plaza Bank,214
255,Bank of Illinois,Normal,Illinois,"March 5, 2010",Heartland Bank and Trust Company,212
256,LibertyPointe Bank,New York,New York,"March 12, 2010",Valley National Bank,210
257,Copper Star Bank,Scottsdale,Arizona,"November 12, 2010","Stearns Bank, N.A.",204
258,Lincoln Park Saving Bank,Chicago,Illinois,"April 23, 2010",Northbrook Bank and Trust Company,200
259,United Americas Bank,Atlanta,Georgia,"December 17, 2010",State Bank and Trust Company,194
260,USA Bank,Port Chester,New York,"July 9, 2010",New Century Bank,190
261,Horizon Bank,Bradenton,Florida,"September 10, 2010",Bank of the Ozarks,188
262,Champion Bank,Creve Coeur,Missouri,"April 30, 2010",BankLiberty,187
263,Olde Cypress Community Bank,Clewiston,Florida,"July 16, 2010",CenterState Bank of Florida,169
264,Bank of Ellijay,Ellijay,Georgia,"September 17, 2010",Community and Southern Bank,169
265,NorthWest Bank and Trust,Acworth,Georgia,"July 30, 2010",State Bank and Trust Company,168
266,Waterfield Bank,Germantown,Maryland,"March 5, 2010",None (insured depositors paid directly),156
267,Independent National Bank,Ocala,Florida,"August 20, 2010",CenterState Bank of Florida,156
268,First Southern Bank,Batesville,Arkansas,"December 17, 2010",Southern Bank,156
269,Haven Trust Bank Florida,Ponte Vedra Beach,Florida,"September 24, 2010",First Southern Bank,149
270,First Suburban National Bank,Maywood,Illinois,"October 22, 2010",Seaway Bank and Trust Company,149
271,Tifton Banking Company,Tifton,Georgia,"November 12, 2010",Ameris Bank,144
272,Williamsburg First National Bank,Kingstree,South Carolina,"July 23, 2010",First Citizens Bank and Trust Company,139
273,First Lowndes Bank,Luverne,Alabama,"March 19, 2010",First Citizens Bank,137
274,Satilla Community Bank,St. Marys,Georgia,"May 14, 2010",Ameris Bank,136
275,First National Bank of Barnesville,Barnesville,Georgia,"October 22, 2010",United Bank,131
276,Peotone Bank and Trust Company,Peotone,Illinois,"April 23, 2010",First Midwest Bank,130
277,Marco Community Bank,Marco Island,Florida,"February 19, 2010",Mutual of Omaha Bank,120
278,Towne Bank of Arizona,Mesa,Arizona,"May 7, 2010",Commerce Bank of Arizona,120
279,Earthstar Bank,Southampton,Pennsylvania,"December 10, 2010",Polonia Bank,113
280,Gulf State Community Bank,Carrabelle,Florida,"November 19, 2010",Centennial Bank,112
281,Progress Bank of Florida,Tampa,Florida,"October 22, 2010",Bay Cities Bank,111
282,New Liberty Bank,Plymouth,Michigan,"May 14, 2010",Bank of Ann Arbor,109
283,Community Security Bank,New Prague,Minnesota,"July 23, 2010",Roundbank,108
284,Allegiance Bank of North America,Bala Cynwyd,Pennsylvania,"November 19, 2010",VIST Bank,106
285,Shoreline Bank,Shoreline,Washington,"October 1, 2010",GBC International Bank,104
286,Granite Community Bank,Granite Bay,California,"May 28, 2010",Tri Counties Bank,103
287,Western Commercial Bank,Woodland Hills,California,"November 5, 2010",First California Bank,99
288,Century Security Bank,Duluth,Georgia,"March 19, 2010",Bank of Upson,97
289,Southwest Community Bank,Springfield,Missouri,"May 14, 2010",Simmons First National Bank,97
290,Mainstreet Savings Bank,Hastings,Michigan,"July 16, 2010",Commercial Bank,97
291,WestBridge Bank and Trust Company,Chesterfield,Missouri,"October 15, 2010",Midland State Bank,92
292,AmericanFirst Bank,Clermont,Florida,"April 16, 2010","TD Bank, N.A.",91
293,Key West Bank,Key West,Florida,"March 26, 2010",Centennial Bank,88
294,ISN Bank,Cherry Hill,New Jersey,"September 17, 2010",Customers Bank,82
295,High Desert State Bank,Albuquerque,New Mexico,"June 25, 2010",First American Bank,81
296,First Bank of Jacksonville,Jacksonville,Florida,"October 22, 2010",Ameris Bank,81
297,Citizens Bank and Trust Company of Chicago,Chicago,Illinois,"April 23, 2010",Republic Bank of Chicago,77
298,Town Community Bank & Trust,Antioch,Illinois,"January 15, 2010",First American Bank,70
299,American National Bank,Parma,Ohio,"March 19, 2010",The National Bank and Trust Company,70
300,Community National Bank at Bartow,Bartow,Florida,"August 20, 2010",CenterState Bank of Florida,68
301,Appalachian Community Bank,McCaysville,Georgia,"December 17, 2010",Peoples Bank of East Tennessee,68
302,BC National Banks,Butler,Missouri,"April 30, 2010",Community First Bank,67
303,Bayside Savings Bank,Port Saint Joe,Florida,"July 30, 2010",Centennial Bank,66
304,Pinehurst Bank,St. Paul,Minnesota,"May 21, 2010",Coulee Bank,61
305,"Marshall Bank, N.A.",Hallock,Minnesota,"January 29, 2010",United Valley Bank,60
306,First National Bank,Rosedale,Mississippi,"June 4, 2010",The Jefferson Bank,60
307,The La Coste National Bank,La Coste,Texas,"February 19, 2010",Community National Bank,54
308,Lakeside Community Bank,Sterling Heights,Michigan,"April 16, 2010",None (insured depositors paid directly),53
309,Carson River Community Bank,Carson City,Nevada,"February 26, 2010",Heritage Bank of Nevada,51
310,Bramble Savings Bank,Milford,Ohio,"September 17, 2010",Foundation Bank,48
311,First Vietnamese American Bank,Westminster,California,"November 5, 2010",Grandpoint Bank,48
312,Thunder Bank,Sylvan Grove,Kansas,"July 23, 2010",The Bennington State Bank,33
313,Access Bank,Champlin,Minnesota,"May 7, 2010",PrinsBank,32
314,Gordon Bank,Gordon,Georgia,"October 22, 2010",Morris Bank,29
315,Community National Bank,Lino Lakes,Minnesota,"December 17, 2010",Farmers & Merchants Savings Bank,29
316,State Bank of Aurora,Aurora,Minnesota,"March 19, 2010",Northern State Bank,28
317,St. Stephen State Bank,St. Stephen,Minnesota,"January 15, 2010",First State Bank of St. Joseph,25
318,Bank of Leeton,Leeton,Missouri,"January 22, 2010","Sunflower Bank, N.A.",20
319,1st American State Bank of Minnesota,Hancock,Minnesota,"February 5, 2010","Community Development Bank, FSB",18
320,Arcola Homestead Savings Bank,Arcola,Illinois,"June 4, 2010",None (insured depositors paid directly),17
321,Imperial Savings & Loan,Martinsville,Virginia,"August 20, 2010","River Community Bank, N.A.",9
322,Ideal Federal Savings Bank,Baltimore,Maryland,"July 9, 2010",None (insured depositors paid directly),6
323,Superior Bank,Birmingham,Alabama,"April 15, 2011","Superior Bank, NA",3000
324,First Community Bank,Taos,New Mexico,"January 28, 2011","U.S. Bank, N.A.",2300
325,"Integra Bank, NA",Evansville,Indiana,"July 29, 2011",Old National Bank,2200
326,Lydian Private Bank,Palm Beach,Florida,"August 19, 2011","Sabadell United Bank, N.A.",1700
327,United Western Bank,Denver,Colorado,"January 21, 2011",First-Citizens Bank and Trust Company,1650
328,Community Banks of Colorado,Greenwood Village,Colorado,"October 21, 2011","Bank Midwest, N.A.",1380
329,Bank of Choice,Greeley,Colorado,"July 22, 2011","Bank Midwest, N.A.",1070
330,Bank of the Commonwealth,Norfolk,Virginia,"September 23, 2011",Southern Bank and Trust Company,"985,1"
331,First Chicago Bank & Trust,Chicago,Illinois,"July 8, 2011",Northbrook Bank and Trust Company,"959,3"
332,Park Avenue Bank,Valdosta,Georgia,"April 29, 2011",Bank of the Ozarks,953
333,Nexity Bank,Birmingham,Alabama,"April 15, 2011",AloStar Bank of Commerce,793
334,FirsTier Bank,Louisville,Colorado,"January 28, 2011",None (insured depositors paid directly),782
335,Atlantic Southern Bank,Macon,Georgia,"May 20, 2011","CertusBank, NA",742
336,First Georgia Banking Company,Franklin,Georgia,"May 20, 2011","CertusBank, NA",731
337,Colorado Capital Bank,Castle Rock,Colorado,"July 8, 2011",First-Citizens Bank and Trust Company,"717,5"
338,First Commercial Bank of Florida,Orlando,Florida,"January 7, 2011",First Southern Bank,599
339,Bank of Whitman,Colfax,Washington,"August 5, 2011",Columbia State Bank,"548,6"
340,The First National Bank of Olathe,Olathe,Kansas,"August 12, 2011",Enterprise Bank and Trust,"538,1"
341,Community Central Bank,Mount Clemens,Michigan,"April 29, 2011",Talmer Bank and Trust,476
342,The RiverBank,Wyoming,Minnesota,"October 7, 2011",Central Bank,"417,4"
343,CommunitySouth Bank and Trust,Easley,South Carolina,"January 21, 2011","CertusBank, NA",402
344,Peoples State Bank,Hamtramck,Michigan,"February 11, 2011",First Michigan Bank,391
345,Habersham Bank,Clarkesville,Georgia,"February 18, 2011","SCBT, NA",387
346,Central Progressive Bank,Lacombe,Louisiana,"November 18, 2011",First NBC Bank,"383,1"
347,SunFirst Bank,Saint George,Utah,"November 4, 2011",Cache Valley Bank,"376,2"
348,Sun Security Bank,Ellington,Missouri,"October 7, 2011",Great Southern Bank,"355,9"
349,First National Bank of Central Florida,Winter Park,Florida,"April 29, 2011",Florida Community Bank,352
350,McIntosh State Bank,Jackson,Georgia,"June 17, 2011",Hamilton Bank,"339,9"
351,"San Luis Trust Bank, FSB",San Luis Obispo,California,"February 18, 2011",First California Bank,333
352,Bartow County Bank,Cartersville,Georgia,"April 15, 2011",Hamilton State Bank,330
353,First Choice Community Bank,Dallas,Georgia,"April 29, 2011",Bank of the Ozarks,309
354,First National Bank of Florida,Milton,Florida,"September 9, 2011",Charter Bank,"296,8"
355,Citizens Bank of Northern California,Nevada City,California,"September 23, 2011",Tri Counties Bank,"288,8"
356,LandMark Bank of Florida,Sarasota,Florida,"July 22, 2011",American Momentum Bank,275
357,Evergreen State Bank,Stoughton,Wisconsin,"January 28, 2011",McFarland State Bank,247
358,First International Bank,Plano,Texas,"September 30, 2011",American First National Bank,"239,9"
359,"BankMeridian, N.A.",Columbia,South Carolina,"July 29, 2011","SCBT, NA","239,8"
360,American Trust Bank,Roswell,Georgia,"February 4, 2011",Renasant Bank,238
361,Oglethorpe Bank,Brunswick,Georgia,"January 14, 2011",Bank of the Ozarks,231
362,First Peoples Bank,Port St. Lucie,Florida,"July 15, 2011","Premier American Bank, N.A.","228,3"
363,Heritage Banking Group,Carthage,Mississippi,"April 15, 2011",TrustMark National Bank,224
364,Old Harbor Bank,Clearwater,Florida,"October 21, 2011",1st United Bank,"215,9"
365,Citizens Bank of Effingham,Springfield,Georgia,"February 18, 2011",Heritage Bank of the South,214
366,Canyon National Bank,Palm Springs,California,"February 11, 2011",Pacific Premier Bank,211
367,Atlantic Bank and Trust,Charleston,South Carolina,"June 3, 2011",First Citizens Bank and Trust Company,208
368,First State Bank,Cranford,New Jersey,"October 14, 2011","Northfield Bank (Staten Island, NY)","204,4"
369,Piedmont Community Bank,Gray,Georgia,"October 14, 2011",State Bank and Trust Company,"201,7"
370,High Trust Bank,Stockbridge,Georgia,"July 15, 2011",Ameris Bank,"192,5"
371,Decatur First Bank,Decatur,Georgia,"October 21, 2011",Fidelity Bank,"191,5"
372,Country Bank,Aledo,Illinois,"October 14, 2011",Blackhawk Bank & Trust,"190,6"
373,Legacy Bank,Milwaukee,Wisconsin,"March 11, 2011",Seaway Bank and Trust Company,190
374,Bank of Asheville,Asheville,North Carolina,"January 21, 2011",First Bank,188
375,One Georgia Bank,Atlanta,Georgia,"July 15, 2011",Ameris Bank,"186,3"
376,Western Springs National Bank and Trust,Western Springs,Illinois,"April 11, 2011",Heartland Bank and Trust Company,186
377,Community Capital Bank,Jonesboro,Georgia,"October 21, 2011",State Bank and Trust Company,"181,2"
378,First Heritage Bank,Snohomish,Washington,"May 27, 2011",Columbia State Bank,174
379,First Southern National Bank,Statesboro,Georgia,"August 19, 2011",Heritage Bank of the South,"164,6"
380,Bank of Commerce,Wood Dale,Illinois,"March 25, 2011",Advantage National Bank Group,163
381,Western National Bank,Phoenix,Arizona,"December 16, 2011",Washington Federal,"162,9"
382,Blue Ridge Savings Bank,Asheville,North Carolina,"October 14, 2011",Bank of North Carolina,161
383,North Georgia Bank,Watkinsville,Georgia,"February 4, 2011",BankSouth,153
384,Legacy Bank,Scottsdale,Arizona,"January 7, 2011",Enterprise Bank and Trust,151
385,Patriot Bank of Georgia,Cumming,Georgia,"September 2, 2011",Georgia Commerce Bank,"150,8"
386,Nevada Commerce Bank,Las Vegas,Nevada,"April 11, 2011",City National Bank,144
387,Summit Bank,Burlington,Washington,"May 20, 2011",Columbia State Bank,143
388,First Choice Bank,Geneva,Illinois,"August 19, 2011",Inland Bank and Trust,141
389,Coastal Bank,Cocoa Beach,Florida,"May 6, 2011",Florida Community Bank,129
390,Sunshine State Community Bank,Port Orange,Florida,"February 11, 2011","Premier American Bank, N.A.",126
391,Premier Community Bank of the Emerald Coast,Crestview,Florida,"December 16, 2011",Summit Bank,126
392,Valley Community Bank,St. Charles,Illinois,"February 25, 2011",First State Bank,123
393,Charter Oak Bank,Napa,California,"February 18, 2011",Bank of Marin,121
394,Bank of Shorewood,Shorewood,Illinois,"August 5, 2011",Heartland Bank and Trust Company,"110,7"
395,New Horizons Bank,East Ellijay,Georgia,"April 15, 2011",Citizens South Bank,110
396,"Mid City Bank, Inc.",Omaha,Nebraska,"November 4, 2011",Premier Bank,"106,1"
397,Mountain Heritage Bank,Clayton,Georgia,"June 24, 2011",First American Bank and Trust Company,"103,7"
398,CreekSide Bank,Woodstock,Georgia,"September 2, 2011",Georgia Community Bank,"102,3"
399,First Commercial Bank of Tampa Bay,Tampa,Florida,"June 17, 2011",Stonegate Bank,"98,6"
400,Enterprise Banking Company,McDonough,Georgia,"January 21, 2011",None (insured depositors paid directly),96
401,Virginia Business Bank,Richmond,Virginia,"July 29, 2011",Xenith Bank,"95,8"
402,Polk County Bank,Johnston,Iowa,"November 18, 2011",Grinnell State Bank,"91,6"
403,First National Bank of Davis,Davis,Oklahoma,"March 11, 2011",The Pauls Valley National Bank,90
404,Badger State Bank,Cassville,Wisconsin,"February 11, 2011",Royal Bank,84
405,Summit Bank,Prescott,Arizona,"July 15, 2011",The Foothills Bank,72
406,Cortez Community Bank,Brooksville,Florida,"April 29, 2011",Florida Community Bank,71
407,Signature Bank,Windsor,Colorado,"July 8, 2011",Points West Community Bank,"66,7"
408,Community Bank of Rockmart,Rockmart,Georgia,"November 10, 2011",Century Bank of Georgia,"62,4"
409,Community First Bank,Chicago,Illinois,"February 4, 2011",Northbrook Bank and Trust,51
410,Public Savings Bank,Huntingdon Valley,Pennsylvania,"August 18, 2011","Capital Bank, N.A.","46,8"
411,Southshore Community Bank,Apollo Beach,Florida,"July 22, 2011",American Momentum Bank,"46,3"
412,First State Bank,Camargo,Oklahoma,"January 28, 2011",Bank 7,44
413,All American Bank,Des Plaines,Illinois,"October 28, 2011",International Bank of Chicago,"37,8"
414,Rosemount National Bank,Rosemount,Minnesota,"April 15, 2011",Central Bank,37
415,Tennessee Commerce Bank,Franklin,Tennessee,"January 27, 2012",Republic Bank & Trust Company,1185
416,Fidelity Bank,Dearborn,Michigan,"March 30, 2012",Huntington National Bank,"818,2"
417,The First State Bank,Stockbridge,Georgia,"January 20, 2012",Hamilton State Bank,"536,9"
418,Waccamaw Bank,Whiteville,North Carolina,"June 8, 2012",First Community Bank,"533,1"
419,Plantation Federal Bank,Pawleys Island,South Carolina,"April 27, 2012",First Federal Bank,"486,4"
420,"Inter Savings Bank, FSB",Maple Grove,Minnesota,"April 27, 2012",Great Southern Bank,"481,6"
421,Home Savings of America,Little Falls,Minnesota,"February 24, 2012",None (Closed permanently by the FDIC),"434,1"
422,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,Florida,"January 27, 2012",CenterState Bank of Florida,"377,9"
423,Central Bank of Georgia,Ellaville,Georgia,"February 24, 2012",Ameris Bank,"278,9"
424,BankEast,Knoxville,Tennessee,"January 27, 2012",U.S. Bancorp,"272,6"
425,Premier Bank,Wilmette,Illinois,"March 23, 2012",International Bank of Chicago,"268,7"
426,First Cherokee State Bank,Woodstock,Georgia,"July 20, 2012",Community & Southern Bank,"222,7"
427,Jasper Banking Company,Jasper,Georgia,"July 27, 2012","Stearns Bank, NA","216,7"
428,Second Federal Savings and Loan Association of Chicago,Chicago,Illinois,"July 20, 2012",Hinsdale Bank & Trust Company,"199,1"
429,SCB Bank,Shelbyville,Indiana,"February 10, 2012","First Merchants Bank, NA","182,6"
430,Montgomery Bank and Trust,Ailey,Georgia,"July 6, 2012",Ameris,"173,6"
431,Putnam State Bank,Palatka,Florida,"June 15, 2012",Harbor Community Bank,"169,5"
432,Bank of the Eastern Shore,Cambridge,Maryland,"April 27, 2012",None (Wound down by FDIC as receiver),"166,7"
433,HarVest Bank of Maryland,Gaithersburg,Maryland,"April 27, 2012",Sonabank,"164,3"
434,The Farmers Bank of Lynchburg,Lynchburg,Tennessee,"June 15, 2012",Clayton Bank and Trust,"163,9"
435,Security Exchange Bank,Marietta,Georgia,"June 15, 2012",Fidelity Bank,151
436,Global Commerce Bank,Doraville,Georgia,"March 2, 2012",Metro City Bank,"143,7"
437,Palm Desert National Bank,Palm Desert,California,"April 27, 2012",Pacific Premier,"125,8"
438,Georgia Trust Bank,Buford,Georgia,"July 20, 2012",Community & Southern Bank,"119,8"
439,Patriot Bank Minnesota,Forest Lake,Minnesota,"January 27, 2012",First Resource Bank,"111,3"
440,Heartland Bank,Leawood,Kansas,"July 20, 2012",Metcalf Bank,110
441,"Security Bank, NA",North Lauderdale,Florida,"May 4, 2012",Banesco,101
442,Covenant Bank & Trust,Rock Spring,Georgia,"March 23, 2012","Stearns Bank, NA","95,7"
443,Charter National Bank and Trust,Hoffman Estates,Illinois,"February 10, 2012","Barrington Bank & Trust Company, NA","93,9"
444,Royal Palm Bank of Florida,Naples,Florida,"July 20, 2012",First National Bank of the Gulf Coast,87
445,Central Florida State Bank,Belleview,Florida,"January 20, 2012",CenterState Bank of Florida,"79,1"
446,New City Bank,Chicago,Illinois,"March 9, 2012",None (Closed permanently by the FDIC),"71,2"
447,Carolina Federal Savings Bank,Charleston,South Carolina,"June 8, 2012",Bank of North Carolina,"54,4"
448,"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,"April 20, 2012",Alma Bank,"51,9"
449,"Alabama Trust Bank, NA",Sylacauga,Alabama,"May 18, 2012",Southern States Bank,"51,6"
450,First Capital Bank,Kingfisher,Oklahoma,"June 8, 2012",F & M Bank,"46,1"
451,Farmers and Traders State Bank,Shabbona,Illinois,"June 8, 2012",First State Bank,"43,1"
452,Glasgow Savings Bank,Glasgow,Missouri,"July 13, 2012",Regional Missouri Bank,"24,8"
453,American Eagle Savings Bank,Boothwyn,Pennsylvania,"January 20, 2012","Capital Bank, N.A.","19,6"
