id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
228,CommunitySouth Bank and Trust,Easley,South Carolina,1295568000000,20110121,"CertusBank, NA",402,343,1357420806903,1357421157957,1,-82.60039,34.83089,"{""type"":""Point"",""coordinates"":[-82.60039,34.83089]}"
229,Peoples State Bank,Hamtramck,Michigan,1297382400000,20110211,First Michigan Bank,391,344,1357420806903,1357421158568,1,-83.05173,42.39941,"{""type"":""Point"",""coordinates"":[-83.05173,42.39941]}"
230,Central Progressive Bank,Lacombe,Louisiana,1321574400000,20111118,First NBC Bank,383.1,346,1357420806903,1357421160106,1,-89.93911,30.31203,"{""type"":""Point"",""coordinates"":[-89.93911,30.31203]}"
231,SunFirst Bank,Saint George,Utah,1320364800000,20111104,Cache Valley Bank,376.2,347,1357420806903,1357421160743,1,-113.5833,37.10907,"{""type"":""Point"",""coordinates"":[-113.5833,37.10907]}"
232,First National Bank of Central Florida,Winter Park,Florida,1304035200000,20110429,Florida Community Bank,352,349,1357420806903,1357421162312,1,-81.35071,28.59457,"{""type"":""Point"",""coordinates"":[-81.35071,28.59457]}"
233,McIntosh State Bank,Jackson,Georgia,1308268800000,20110617,Hamilton Bank,339.9,350,1357420806903,1357421163181,1,-83966,33.2944,"{""type"":""Point"",""coordinates"":[-83.966,33.2944]}"
234,Bartow County Bank,Cartersville,Georgia,1302825600000,20110415,Hamilton State Bank,330,352,1357420806903,1357421164668,1,-84.7957,34.16517,"{""type"":""Point"",""coordinates"":[-84.7957,34.16517]}"
235,First Choice Community Bank,Dallas,Georgia,1304035200000,20110429,Bank of the Ozarks,309,353,1357420806903,1357421165676,1,-84.84153,33.92518,"{""type"":""Point"",""coordinates"":[-84.84153,33.92518]}"
236,Citizens Bank of Northern California,Nevada City,California,1316736000000,20110923,Tri Counties Bank,288.8,355,1357420806903,1357421167431,1,-121.01914,39.26271,"{""type"":""Point"",""coordinates"":[-121.01914,39.26271]}"
237,LandMark Bank of Florida,Sarasota,Florida,1311292800000,20110722,American Momentum Bank,275,356,1357420806903,1357421168600,1,-82.53963,27.33888,"{""type"":""Point"",""coordinates"":[-82.53963,27.33888]}"
238,First International Bank,Plano,Texas,1317340800000,20110930,American First National Bank,239.9,358,1357420806903,1357421170305,1,-96.69925,33.02079,"{""type"":""Point"",""coordinates"":[-96.69925,33.02079]}"
239,"BankMeridian, N.A.",Columbia,South Carolina,1311897600000,20110729,"SCBT, NA",239.8,359,1357420806903,1357421171205,1,-81.04537,33.99882,"{""type"":""Point"",""coordinates"":[-81.04537,33.99882]}"
240,Oglethorpe Bank,Brunswick,Georgia,1294963200000,20110114,Bank of the Ozarks,231,361,1357420806903,1357421173033,1,-81.49556,31.14974,"{""type"":""Point"",""coordinates"":[-81.49556,31.14974]}"
241,First Peoples Bank,Port St. Lucie,Florida,1310688000000,20110715,"Premier American Bank, N.A.",228.3,362,1357420806903,1357421174152,1,-80.36331,27.27418,"{""type"":""Point"",""coordinates"":[-80.36331,27.27418]}"
242,Old Harbor Bank,Clearwater,Florida,1319155200000,20111021,1st United Bank,215.9,364,1357420806903,1357421175876,1,-82.79975,27.96558,"{""type"":""Point"",""coordinates"":[-82.79975,27.96558]}"
243,Citizens Bank of Effingham,Springfield,Georgia,1297987200000,20110218,Heritage Bank of the South,214,365,1357420806903,1357421176706,1,-81.31343,32.37092,"{""type"":""Point"",""coordinates"":[-81.31343,32.37092]}"
244,Atlantic Bank and Trust,Charleston,South Carolina,1307059200000,20110603,First Citizens Bank and Trust Company,208,367,1357420806903,1357421178462,1,-79.9316,32.78115,"{""type"":""Point"",""coordinates"":[-79.9316,32.78115]}"
245,First State Bank,Cranford,New Jersey,1318550400000,20111014,"Northfield Bank (Staten Island, NY)",204.4,368,1357420806903,1357421179247,1,-74.30629,40656,"{""type"":""Point"",""coordinates"":[-74.30629,40.656]}"
246,Piedmont Community Bank,Gray,Georgia,1318550400000,20111014,State Bank and Trust Company,201.7,369,1357420806903,1357421180230,1,-83.53435,33.00944,"{""type"":""Point"",""coordinates"":[-83.53435,33.00944]}"
247,Decatur First Bank,Decatur,Georgia,1319155200000,20111021,Fidelity Bank,191.5,371,1357420806903,1357421181904,1,-84.29659,33.77402,"{""type"":""Point"",""coordinates"":[-84.29659,33.77402]}"
248,Country Bank,Aledo,Illinois,1318550400000,20111014,Blackhawk Bank & Trust,190.6,372,1357420806903,1357421182462,1,-90.74988,41.19993,"{""type"":""Point"",""coordinates"":[-90.74988,41.19993]}"
249,Bank of Asheville,Asheville,North Carolina,1295568000000,20110121,First Bank,188,374,1357420806903,1357421184160,1,-82.55314,35.59846,"{""type"":""Point"",""coordinates"":[-82.55314,35.59846]}"
250,One Georgia Bank,Atlanta,Georgia,1310688000000,20110715,Ameris Bank,186.3,375,1357420806903,1357421184784,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
251,First Heritage Bank,Snohomish,Washington,1306454400000,20110527,Columbia State Bank,174,378,1357420806903,1357421187161,1,-122.09306,47.9124,"{""type"":""Point"",""coordinates"":[-122.09306,47.9124]}"
252,Bank of Commerce,Wood Dale,Illinois,1301011200000,20110325,Advantage National Bank Group,163,380,1357420806903,1357421190904,1,-87.97882,41.96726,"{""type"":""Point"",""coordinates"":[-87.97882,41.96726]}"
253,Western National Bank,Phoenix,Arizona,1323993600000,20111216,Washington Federal,162.9,381,1357420806903,1357421192118,1,-112.07577,33.44826,"{""type"":""Point"",""coordinates"":[-112.07577,33.44826]}"
254,North Georgia Bank,Watkinsville,Georgia,1296777600000,20110204,BankSouth,153,383,1357420806903,1357421193877,1,-83.40927,33.86328,"{""type"":""Point"",""coordinates"":[-83.40927,33.86328]}"
255,Legacy Bank,Scottsdale,Arizona,1294358400000,20110107,Enterprise Bank and Trust,151,384,1357420806903,1357421194942,1,-111.92069,33494,"{""type"":""Point"",""coordinates"":[-111.92069,33.494]}"
256,Nevada Commerce Bank,Las Vegas,Nevada,1302480000000,20110411,City National Bank,144,386,1357420806903,1357421196384,1,-115.13997,36.17191,"{""type"":""Point"",""coordinates"":[-115.13997,36.17191]}"
257,Summit Bank,Burlington,Washington,1305849600000,20110520,Columbia State Bank,143,387,1357420806903,1357421197324,1,-122.33029,48.46846,"{""type"":""Point"",""coordinates"":[-122.33029,48.46846]}"
258,First Choice Bank,Geneva,Illinois,1313712000000,20110819,Inland Bank and Trust,141,388,1357420806903,1357421198190,1,-88.30522,41.88701,"{""type"":""Point"",""coordinates"":[-88.30522,41.88701]}"
259,Sunshine State Community Bank,Port Orange,Florida,1297382400000,20110211,"Premier American Bank, N.A.",126,390,1357420806903,1357421199655,1,-81.02063,29.12614,"{""type"":""Point"",""coordinates"":[-81.02063,29.12614]}"
260,Premier Community Bank of the Emerald Coast,Crestview,Florida,1323993600000,20111216,Summit Bank,126,391,1357420806903,1357421200696,1,-86.57102,30.76183,"{""type"":""Point"",""coordinates"":[-86.57102,30.76183]}"
261,Charter Oak Bank,Napa,California,1297987200000,20110218,Bank of Marin,121,393,1357420806903,1357421202774,1,-122.28522,38.29886,"{""type"":""Point"",""coordinates"":[-122.28522,38.29886]}"
262,Bank of Shorewood,Shorewood,Illinois,1312502400000,20110805,Heartland Bank and Trust Company,110.7,394,1357420806903,1357421203540,1,-88.20806,41.52145,"{""type"":""Point"",""coordinates"":[-88.20806,41.52145]}"
263,"Mid City Bank, Inc.",Omaha,Nebraska,1320364800000,20111104,Premier Bank,106.1,396,1357420806903,1357421205250,1,-95.94059,41.26069,"{""type"":""Point"",""coordinates"":[-95.94059,41.26069]}"
264,Mountain Heritage Bank,Clayton,Georgia,1308873600000,20110624,First American Bank and Trust Company,103.7,397,1357420806903,1357421206149,1,-84363,33.55634,"{""type"":""Point"",""coordinates"":[-84.363,33.55634]}"
265,CreekSide Bank,Woodstock,Georgia,1314921600000,20110902,Georgia Community Bank,102.3,398,1357420806903,1357421207005,1,-84.51879,34.10284,"{""type"":""Point"",""coordinates"":[-84.51879,34.10284]}"
266,Enterprise Banking Company,McDonough,Georgia,1295568000000,20110121,None (insured depositors paid directly),96,400,1357420806903,1357421208561,1,-84.14773,33.44774,"{""type"":""Point"",""coordinates"":[-84.14773,33.44774]}"
267,Virginia Business Bank,Richmond,Virginia,1311897600000,20110729,Xenith Bank,95.8,401,1357420806903,1357421209925,1,-77.43365,37.5407,"{""type"":""Point"",""coordinates"":[-77.43365,37.5407]}"
268,Badger State Bank,Cassville,Wisconsin,1297382400000,20110211,Royal Bank,84,404,1357420806903,1357421212471,1,-90.99023,42.71411,"{""type"":""Point"",""coordinates"":[-90.99023,42.71411]}"
269,Summit Bank,Prescott,Arizona,1310688000000,20110715,The Foothills Bank,72,405,1357420806903,1357421213612,1,-112.46873,34.54142,"{""type"":""Point"",""coordinates"":[-112.46873,34.54142]}"
270,Cortez Community Bank,Brooksville,Florida,1304035200000,20110429,Florida Community Bank,71,406,1357420806903,1357421214251,1,-82.38782,28.55451,"{""type"":""Point"",""coordinates"":[-82.38782,28.55451]}"
271,Signature Bank,Windsor,Colorado,1310083200000,20110708,Points West Community Bank,66.7,407,1357420806903,1357421215223,1,-104.90142,40.47852,"{""type"":""Point"",""coordinates"":[-104.90142,40.47852]}"
272,Community First Bank,Chicago,Illinois,1296777600000,20110204,Northbrook Bank and Trust,51,409,1357420806903,1357421216649,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
273,Public Savings Bank,Huntingdon Valley,Pennsylvania,1313625600000,20110818,"Capital Bank, N.A.",46.8,410,1357420806903,1357421217715,1,-75.06238,40.12684,"{""type"":""Point"",""coordinates"":[-75.06238,40.12684]}"
274,First State Bank,Camargo,Oklahoma,1296172800000,20110128,Bank 7,44,412,1357420806903,1357421219406,1,-99.28935,36.01691,"{""type"":""Point"",""coordinates"":[-99.28935,36.01691]}"
275,All American Bank,Des Plaines,Illinois,1319760000000,20111028,International Bank of Chicago,37.8,413,1357420806903,1357421220326,1,-87.88845,42042,"{""type"":""Point"",""coordinates"":[-87.88845,42.042]}"
276,Rosemount National Bank,Rosemount,Minnesota,1302825600000,20110415,Central Bank,37,414,1357420806903,1357421221861,1,-93.12429,44.73919,"{""type"":""Point"",""coordinates"":[-93.12429,44.73919]}"
277,Fidelity Bank,Dearborn,Michigan,1333065600000,20120330,Huntington National Bank,818.2,416,1357420806903,1357421224059,1,-83.17624,42.32209,"{""type"":""Point"",""coordinates"":[-83.17624,42.32209]}"
278,The First State Bank,Stockbridge,Georgia,1327017600000,20120120,Hamilton State Bank,536.9,417,1357420806903,1357421225258,1,-84.2277,33.54378,"{""type"":""Point"",""coordinates"":[-84.2277,33.54378]}"
279,Plantation Federal Bank,Pawleys Island,South Carolina,1335484800000,20120427,First Federal Bank,486.4,419,1357420806903,1357421226648,1,-79.12772,33.4385,"{""type"":""Point"",""coordinates"":[-79.12772,33.4385]}"
280,"Inter Savings Bank, FSB",Maple Grove,Minnesota,1335484800000,20120427,Great Southern Bank,481.6,420,1357420806903,1357421227471,1,-93.4431,45.09829,"{""type"":""Point"",""coordinates"":[-93.4431,45.09829]}"
281,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,Florida,1327622400000,20120127,CenterState Bank of Florida,377.9,422,1357420806903,1357421229096,1,-81.65622,30.33147,"{""type"":""Point"",""coordinates"":[-81.65622,30.33147]}"
282,Central Bank of Georgia,Ellaville,Georgia,1330041600000,20120224,Ameris Bank,278.9,423,1357420806903,1357421229805,1,-84.30858,32.23812,"{""type"":""Point"",""coordinates"":[-84.30858,32.23812]}"
283,Premier Bank,Wilmette,Illinois,1332460800000,20120323,International Bank of Chicago,268.7,425,1357420806903,1357421231727,1,-87.70771,42.07562,"{""type"":""Point"",""coordinates"":[-87.70771,42.07562]}"
284,Jasper Banking Company,Jasper,Georgia,1343347200000,20120727,"Stearns Bank, NA",216.7,427,1357420806903,1357421233576,1,-84.42696,34.46847,"{""type"":""Point"",""coordinates"":[-84.42696,34.46847]}"
285,SCB Bank,Shelbyville,Indiana,1328832000000,20120210,"First Merchants Bank, NA",182.6,429,1357420806903,1357421235062,1,-85.77702,39.5212,"{""type"":""Point"",""coordinates"":[-85.77702,39.5212]}"
286,Washington Mutual Bank,Seattle,Washington,1222300800000,20080925,JPMorgan Chase Bank,307000,1,1357420806903,1357420840746,1,-122.32944,47.60356,"{""type"":""Point"",""coordinates"":[-122.32944,47.60356]}"
287,Downey Savings and Loan,Newport Beach,California,1227225600000,20081121,"U.S. Bank, N.A.",12800,3,1357420806903,1357420842404,1,-117.93034,33.61683,"{""type"":""Point"",""coordinates"":[-117.93034,33.61683]}"
288,First National Bank of Nevada,Reno,Nevada,1216944000000,20080725,Mutual of Omaha Bank,3400,6,1357420806903,1357420845683,1,-119.81344,39.52738,"{""type"":""Point"",""coordinates"":[-119.81344,39.52738]}"
289,Integrity Bank,Alpharetta,Georgia,1219968000000,20080829,Regions Bank,1100,9,1357420806903,1357420848189,1,-84.29455,34.07537,"{""type"":""Point"",""coordinates"":[-84.29455,34.07537]}"
290,Haven Trust Bank,Duluth,Georgia,1229040000000,20081212,Branch Banking and Trust Company (BB&T),572,12,1357420806903,1357420850696,1,-84.14496,34.00336,"{""type"":""Point"",""coordinates"":[-84.14496,34.00336]}"
291,Freedom Bank,Bradenton,Florida,1225411200000,20081031,Fifth Third Bank,287,15,1357420806903,1357420853809,1,-82.57807,27.4955,"{""type"":""Point"",""coordinates"":[-82.57807,27.4955]}"
292,"First Heritage Bank, NA",Newport Beach,California,1216944000000,20080725,Mutual of Omaha Bank,254,17,1357420806903,1357420856847,1,-117.93034,33.61683,"{""type"":""Point"",""coordinates"":[-117.93034,33.61683]}"
293,Douglass National Bank,Kansas City,Missouri,1201219200000,20080125,Liberty Bank and Trust,58.5,21,1357420806903,1357420860136,1,-94.58306,39.10295,"{""type"":""Point"",""coordinates"":[-94.58306,39.10295]}"
294,Meridian Bank,Eldred,Illinois,1223596800000,20081010,National Bank,39.2,23,1357420806903,1357420861538,1,-90.55068,39.28828,"{""type"":""Point"",""coordinates"":[-90.55068,39.28828]}"
295,Colonial Bank,Montgomery,Alabama,1250208000000,20090814,Branch Banking and Trust (BB&T),25000,26,1357420806903,1357420864286,1,-86.30063,32.38012,"{""type"":""Point"",""coordinates"":[-86.30063,32.38012]}"
296,Guaranty Bank,Austin,Texas,1250812800000,20090821,BBVA Compass,13000,27,1357420806903,1357420866517,1,-97.74298,30.2676,"{""type"":""Point"",""coordinates"":[-97.74298,30.2676]}"
297,BankUnited FSB,Coral Gables,Florida,1242864000000,20090521,BankUnited,12800,28,1357420806903,1357420867135,1,-80.26295,25.74923,"{""type"":""Point"",""coordinates"":[-80.26295,25.74923]}"
298,California National Bank,Los Angeles,California,1256860800000,20091030,"U.S. Bank, N.A.",7800,31,1357420806903,1357420870541,1,-118.24532,34.05349,"{""type"":""Point"",""coordinates"":[-118.24532,34.05349]}"
299,"First Federal Bank of California, F.S.B.",Santa Monica,California,1261094400000,20091218,"OneWest Bank, FSB",6100,33,1357420806903,1357420872144,1,-118.49229,34.01156,"{""type"":""Point"",""coordinates"":[-118.49229,34.01156]}"
300,San Diego National Bank,San Diego,California,1256860800000,20091030,"U.S. Bank, N.A.",3600,37,1357420806903,1357420875236,1,-117.16172,32.71569,"{""type"":""Point"",""coordinates"":[-117.16172,32.71569]}"
301,Irwin Union Bank and Trust Company,Columbus,Indiana,1253232000000,20090918,"First Financial Bank, N.A.",2700,38,1357420806903,1357420877685,1,-85.91868,39.2015,"{""type"":""Point"",""coordinates"":[-85.91868,39.2015]}"
302,New Frontier Bank,Greeley,Colorado,1239321600000,20090410,None (Wound down by FDIC as receiver),2000,41,1357420806903,1357420880594,1,-104.69446,40.42327,"{""type"":""Point"",""coordinates"":[-104.69446,40.42327]}"
303,Peoples First Community Bank,Panama City,Florida,1261094400000,20091218,Hancock Bank,1800,44,1357420806903,1357420883711,1,-85.66033,30.15987,"{""type"":""Point"",""coordinates"":[-85.66033,30.15987]}"
304,First Bank of Beverly Hills,Calabasas,California,1240531200000,20090424,None (insured depositors paid directly),1500,47,1357420806903,1357420886359,1,-118.6938,34.15226,"{""type"":""Point"",""coordinates"":[-118.6938,34.15226]}"
305,Alliance Bank,Culver City,California,1233878400000,20090206,California Bank and Trust,1140,51,1357420806903,1357420890282,1,-118.39621,34.02161,"{""type"":""Point"",""coordinates"":[-118.39621,34.02161]}"
306,Bank of the Eastern Shore,Cambridge,Maryland,1335484800000,20120427,None (Wound down by FDIC as receiver),166.7,432,1357420806903,1357421238047,1,-76.07806,38.56312,"{""type"":""Point"",""coordinates"":[-76.07806,38.56312]}"
307,HarVest Bank of Maryland,Gaithersburg,Maryland,1335484800000,20120427,Sonabank,164.3,433,1357420806903,1357421238765,1,-77.19382,39.13986,"{""type"":""Point"",""coordinates"":[-77.19382,39.13986]}"
308,Security Exchange Bank,Marietta,Georgia,1339718400000,20120615,Fidelity Bank,151,435,1357420806903,1357421240777,1,-84.54588,33.95319,"{""type"":""Point"",""coordinates"":[-84.54588,33.95319]}"
309,Global Commerce Bank,Doraville,Georgia,1330646400000,20120302,Metro City Bank,143.7,436,1357420806903,1357421242091,1,-84279,33.90094,"{""type"":""Point"",""coordinates"":[-84.279,33.90094]}"
310,Palm Desert National Bank,Palm Desert,California,1335484800000,20120427,Pacific Premier,125.8,437,1357420806903,1357421243551,1,-116.38032,33.72891,"{""type"":""Point"",""coordinates"":[-116.38032,33.72891]}"
311,Patriot Bank Minnesota,Forest Lake,Minnesota,1327622400000,20120127,First Resource Bank,111.3,439,1357420806903,1357421246098,1,-92.9842,45.28191,"{""type"":""Point"",""coordinates"":[-92.9842,45.28191]}"
312,Heartland Bank,Leawood,Kansas,1342742400000,20120720,Metcalf Bank,110,440,1357420806903,1357421248105,1,-94.6413,38.91658,"{""type"":""Point"",""coordinates"":[-94.6413,38.91658]}"
313,Covenant Bank & Trust,Rock Spring,Georgia,1332460800000,20120323,"Stearns Bank, NA",95.7,442,1357420806903,1357421252297,1,-85.24069,34.82378,"{""type"":""Point"",""coordinates"":[-85.24069,34.82378]}"
314,Royal Palm Bank of Florida,Naples,Florida,1342742400000,20120720,First National Bank of the Gulf Coast,87,444,1357420806903,1357421254633,1,-81.79579,26.13909,"{""type"":""Point"",""coordinates"":[-81.79579,26.13909]}"
315,Central Florida State Bank,Belleview,Florida,1327017600000,20120120,CenterState Bank of Florida,79.1,445,1357420806903,1357421256192,1,-82.05919,29.05998,"{""type"":""Point"",""coordinates"":[-82.05919,29.05998]}"
316,New City Bank,Chicago,Illinois,1331251200000,20120309,None (Closed permanently by the FDIC),71.2,446,1357420806903,1357421257130,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
317,Carolina Federal Savings Bank,Charleston,South Carolina,1339113600000,20120608,Bank of North Carolina,54.4,447,1357420806903,1357421258729,1,-79.9316,32.78115,"{""type"":""Point"",""coordinates"":[-79.9316,32.78115]}"
318,"Alabama Trust Bank, NA",Sylacauga,Alabama,1337299200000,20120518,Southern States Bank,51.6,449,1357420806903,1357421260797,1,-86.25025,33.17156,"{""type"":""Point"",""coordinates"":[-86.25025,33.17156]}"
319,First Capital Bank,Kingfisher,Oklahoma,1339113600000,20120608,F & M Bank,46.1,450,1357420806903,1357421261954,1,-97.93266,35.86037,"{""type"":""Point"",""coordinates"":[-97.93266,35.86037]}"
320,Glasgow Savings Bank,Glasgow,Missouri,1342137600000,20120713,Regional Missouri Bank,24.8,452,1357420806903,1357421263810,1,-92.84693,39.22687,"{""type"":""Point"",""coordinates"":[-92.84693,39.22687]}"
321,American Eagle Savings Bank,Boothwyn,Pennsylvania,1327017600000,20120120,"Capital Bank, N.A.",19.6,453,1357420806903,1357421264657,1,-75.4409,39.82977,"{""type"":""Point"",""coordinates"":[-75.4409,39.82977]}"
322,Venture Bank,Lacey,Washington,1252627200000,20090911,First-Citizens Bank and Trust Company,970,54,1357420806903,1357420893488,1,-122.82322,47.04477,"{""type"":""Point"",""coordinates"":[-122.82322,47.04477]}"
323,The Buckhead Community Bank,Atlanta,Georgia,1259884800000,20091204,State Bank and Trust,874,57,1357420806903,1357420896228,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
324,1st Centennial Bank,Redlands,California,1232668800000,20090123,First California Bank,803.3,58,1357420806903,1357420896910,1,-117.18258,34.05528,"{""type"":""Point"",""coordinates"":[-117.18258,34.05528]}"
325,Peoples Community Bank,West Chester,Ohio,1248998400000,20090731,"First Financial Bank, N.A.",706,61,1357420806903,1357420899500,1,-81.3441,40.23323,"{""type"":""Point"",""coordinates"":[-81.3441,40.23323]}"
326,Riverside Bank of the Gulf Coast,Cape Coral,Florida,1234483200000,20090213,TIB Bank,539,65,1357420806903,1357420903022,1,-81.95694,26.62982,"{""type"":""Point"",""coordinates"":[-81.95694,26.62982]}"
327,SolutionsBank,Overland Park,Kansas,1260489600000,20091211,Arvest Bank,511,68,1357420806903,1357420905836,1,-94.67168,38.98489,"{""type"":""Point"",""coordinates"":[-94.67168,38.98489]}"
328,First Bank of Idaho,Ketchum,Idaho,1240531200000,20090424,"U.S. Bank, N.A.",488.9,71,1357420806903,1357420908611,1,-114.36368,43.68259,"{""type"":""Point"",""coordinates"":[-114.36368,43.68259]}"
329,Vantus Bank,Sioux City,Iowa,1252022400000,20090904,Great Southern Bank,458,74,1357420806903,1357420911315,1,-96.42094,42.49981,"{""type"":""Point"",""coordinates"":[-96.42094,42.49981]}"
330,Bradford Bank,Baltimore,Maryland,1251417600000,20090828,Manufacturers & Traders Trust Company,452,77,1357420806903,1357420914658,1,-76.60926,39.29058,"{""type"":""Point"",""coordinates"":[-76.60926,39.29058]}"
331,National Bank of Commerce,Berkeley,Illinois,1232064000000,20090116,Republic Bank of Chicago,430.9,81,1357420806903,1357420918650,1,-87.91397,41.88216,"{""type"":""Point"",""coordinates"":[-87.91397,41.88216]}"
332,Suburban FSB,Crofton,Maryland,1233273600000,20090130,Bank of Essex,360,84,1357420806903,1357420921176,1,-76.69084,39.01192,"{""type"":""Point"",""coordinates"":[-76.69084,39.01192]}"
333,Westsound Bank,Bremerton,Washington,1241740800000,20090508,Kitsap Bank,334.6,87,1357420806903,1357420923787,1,-122.62747,47565,"{""type"":""Point"",""coordinates"":[-122.62747,47.565]}"
334,Security Bank of Gwinnett County,Suwanee,Georgia,1248393600000,20090724,State Bank and Trust Company,322,90,1357420806903,1357420927143,1,-84.06533,34.05688,"{""type"":""Point"",""coordinates"":[-84.06533,34.05688]}"
335,RockBridge Commercial Bank,Atlanta,Georgia,1261094400000,20091218,None (insured depositors paid directly),294,93,1357420806903,1357420929316,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
336,Corn Belt Bank & Trust Co.,Pittsfield,Illinois,1234483200000,20090213,The Carlinville National Bank,271.8,97,1357420806903,1357420932155,1,-90.80534,39.60677,"{""type"":""Point"",""coordinates"":[-90.80534,39.60677]}"
337,Security Savings Bank,Henderson,Nevada,1235692800000,20090227,Bank of Nevada,238.3,100,1357420806903,1357420935156,1,-114.98109,36.03082,"{""type"":""Point"",""coordinates"":[-114.98109,36.03082]}"
338,Ocala National Bank,Ocala,Florida,1233273600000,20090130,"CenterState Bank of Florida, N.A.",223.5,103,1357420806903,1357420937565,1,-82.14039,29.18752,"{""type"":""Point"",""coordinates"":[-82.14039,29.18752]}"
339,"Bank USA, N.A.",Phoenix,Arizona,1256860800000,20091030,"U.S. Bank, N.A.",213,106,1357420806903,1357420940292,1,-112.07577,33.44826,"{""type"":""Point"",""coordinates"":[-112.07577,33.44826]}"
340,Community First Bank,Prineville,Oregon,1249603200000,20090807,Home Federal Bank,209,109,1357420806903,1357420942515,1,-120.84404,44.30292,"{""type"":""Point"",""coordinates"":[-120.84404,44.30292]}"
